,time,speed,i
150,4.886,2917.810970269694,79.14143283034421
151,4.922,2895.0126487311313,92.1466267780791
152,4.972,2913.9771144359465,105.61749665701016
153,5.014,2968.409238424272,113.79275179564223
154,5.048,3026.6711280509544,110.67679243551412
155,5.077,3033.035811788468,88.14847773924626
156,5.096,3010.9020138525466,75.77696717635388
157,5.12,2969.596637535563,73.00754880541758
158,5.158,2930.327270931825,87.77339328667792
159,5.176,2924.4034569109617,94.19009679068151
160,5.206,2931.902802214995,102.04801424525955
161,5.242,2967.029671762421,110.17794134030095
162,5.279,3020.600859057616,108.06671570676416
163,5.318,3011.4948570414663,79.95018541126534
164,5.363,2957.3927725137564,83.93491348307285
165,5.379,2947.480663353933,88.76374142847955
166,5.417,2944.33708382953,98.89089152191676
167,5.436,2952.787125954289,103.3422504374429
168,5.476,2999.370317366206,112.09938777385466
169,5.526,3067.864401418931,107.14431031799191
170,5.597,3040.079297981662,73.82372492675756
171,5.718,2752.614947369996,33.48119286340144
172,5.764,2621.4749805627303,40.57567092820842
173,5.795,2552.0800907017638,61.10587025315556
174,5.841,2507.6853676351393,84.96887424046297
175,5.884,2526.2486693094966,101.67422855178867
176,5.937,2613.775113142646,116.24238867161216
177,5.964,2686.3394806604133,121.96279360073471
178,5.997,2781.4808312116925,126.55149496702072
179,6.038,2905.7502959007334,129.7991221817831
180,6.063,2982.681387122391,123.87797342906096
181,6.084,3017.061220399319,106.35526797395204
182,6.129,3004.223992881241,78.98725229694479
183,6.146,2980.3446630708295,76.59701890815057
184,6.161,2963.6688099197645,82.30013504543858
185,6.188,2947.623265267488,90.9733631652136
186,6.217,2947.9479253510463,99.55970411019379
187,6.246,2966.2724696052446,106.38353566821432
188,6.272,2999.5831262802103,111.79812988831621
189,6.323,3076.250472365486,108.32189806982929
190,6.347,3081.0204850150594,92.04279940884354
191,6.366,3070.7031993530522,83.05238908165379
192,6.408,3014.3436685755237,64.41802558757098
193,6.423,2987.408689752856,64.90222584011626
194,6.47,2926.53896783321,83.34251940839056
195,6.504,2912.505759588064,94.64937656178486
