,speed
312,3849.5607930208093
313,3849.5607930208093
314,3849.5607930208093
315,3849.5607930208093
316,3861.1137241658594
317,4346.5746031538565
318,4676.047830669548
319,4676.047830669548
320,4676.047830669548
321,4676.047830669548
322,4676.047830669548
323,4676.047830669548
324,4676.047830669548
325,4676.047830669548
326,4668.16467857141
327,4612.411752463233
328,4519.253404412429
329,4192.3568571111255
330,4077.9488008180824
331,4077.9488008180824
332,4077.9488008180824
333,4077.9488008180824
334,4077.9488008180824
335,4077.9488008180824
336,4077.9488008180824
337,4077.9488008180824
338,4067.0844542269833
339,3995.642491477851
340,3920.1701300841623
341,4024.1513058117603
342,4256.0364367708435
343,4271.412277382573
344,4271.412277382573
345,4271.412277382573
346,4271.412277382573
347,4271.412277382573
348,4271.412277382573
349,4271.412277382573
350,4275.578544775231
351,4186.102276336717
352,4112.747410947315
353,4053.3622925319637
354,4088.867327121511
355,4193.145242366891
356,4193.145242366891
357,4193.145242366891
358,4193.145242366891
359,4193.145242366891
360,4193.145242366891
361,4193.145242366891
362,4207.288020056682
363,4292.000802871342
364,4260.266009968723
365,4139.254374288683
366,4083.06183460511
367,4090.53497541465
368,4090.53497541465
369,4090.53497541465
370,4090.53497541465
371,4090.53497541465
372,4090.53497541465
373,4090.53497541465
374,4090.53497541465
375,4092.552673147739
376,4104.5640053878915
377,4051.724463716917
378,3965.390548707355
379,3967.067724694111
380,4176.618737327608
381,4176.618737327608
382,4176.618737327608
383,4176.618737327608
384,4176.618737327608
385,4176.618737327608
386,4176.618737327608
387,4176.618737327608
388,4184.823107458161
389,4306.439518965923
390,4322.689665589254
391,4250.396460079924
392,4065.117534503985
393,3990.7694800340355
394,3990.7694800340355
395,3990.7694800340355
396,3990.7694800340355
397,3990.7694800340355
398,3990.7694800340355
399,3990.7694800340355
400,3990.7694800340355
401,3973.2551542175615
402,3952.405212285971
403,4043.0913990585286
404,4108.194141040195
405,4036.9998044921786
406,4036.9998044921786
407,4036.9998044921786
408,4036.9998044921786
409,4036.9998044921786
410,4036.9998044921786
411,4036.9998044921786
412,4036.9998044921786
413,4036.9998044921786
414,4001.0963544533006
415,3948.806332838111
416,4088.408057440584
417,4394.834164234375
418,4397.76019029173
419,4397.76019029173
420,4397.76019029173
421,4397.76019029173
422,4397.76019029173
423,4397.76019029173
424,4397.76019029173
425,4397.966939443146
426,4368.8092787355945
427,4231.780059052563
428,3953.110527706015
429,3866.285900661044
430,3866.285900661044
431,3866.285900661044
432,3866.285900661044
433,3866.285900661044
434,3866.285900661044
435,3866.285900661044
436,3863.3603944316947
437,3911.375977788196
438,4062.4813399534573
439,4306.575236228883
440,4307.2004285477215
441,4307.2004285477215
442,4307.2004285477215
443,4307.2004285477215
444,4307.2004285477215
445,4307.2004285477215
446,4307.2004285477215
447,4307.2004285477215
448,4303.912939781804
449,4131.599359675666
450,4067.8291017316324
451,4075.9240263904553
452,4177.407686475391
453,4177.407686475391
454,4177.407686475391
455,4177.407686475391
456,4177.407686475391
457,4177.407686475391
458,4177.407686475391
459,4177.407686475391
460,4177.407686475391
461,4184.965373623767
462,3989.3842792530522
463,3756.442011239096
464,3756.442011239096
465,3756.442011239096
466,3756.442011239096
467,3756.442011239096
468,3756.442011239096
469,3729.892702491797
470,4148.200594764799
471,4547.797750417093
472,4547.797750417093
473,4547.797750417093
474,4547.797750417093
475,4547.797750417093
476,4547.797750417093
477,4547.797750417093
478,4547.797750417093
479,4547.797750417093
480,4555.135286904446
481,4469.85140429643
482,4205.982543339995
483,4132.43254124629
484,4098.698271489839
485,4098.698271489839
486,4098.698271489839
487,4098.698271489839
488,4098.698271489839
489,4098.698271489839
490,4098.698271489839
491,4098.698271489839
492,4086.882842947873
493,4048.558405291599
494,4026.3652435795543
495,4105.092803884661
496,4190.6242352197505
497,4173.648530379423
498,4173.648530379423
499,4173.648530379423
500,4173.648530379423
501,4173.648530379423
502,4173.648530379423
503,4146.510280668782
504,3972.2913312024116
505,3795.0774422416916
506,3888.3049066872713
507,3888.3049066872713
508,3888.3049066872713
509,3888.3049066872713
510,3888.3049066872713
511,3888.3049066872713
512,3959.5656209042
513,4056.3175299710015
514,4107.786521320638
515,3926.176799622963
516,3871.8629001576574
517,3871.8629001576574
518,3871.8629001576574
519,3871.8629001576574
520,3871.8629001576574
521,3871.8629001576574
522,3871.8629001576574
523,3871.8629001576574
524,3925.3415248769707
525,4273.9121056124895
526,4492.151783922041
527,4570.8071828292905
528,4570.8071828292905
529,4570.8071828292905
530,4570.8071828292905
531,4570.8071828292905
532,4570.8071828292905
533,4570.8071828292905
534,4543.738656849004
535,4436.794492889993
536,4365.062344550568
537,4243.564951183104
538,4161.971709416559
539,4149.481963504981
540,4149.481963504981
541,4149.481963504981
542,4149.481963504981
543,4149.481963504981
544,4149.481963504981
545,4149.481963504981
546,4144.338132442703
547,4020.395362247157
548,3742.943672537231
549,3742.943672537231
550,3742.943672537231
551,3742.943672537231
552,3742.943672537231
553,3742.943672537231
554,3742.943672537231
555,3723.2753819556588
556,3672.4228787355205
557,3655.6580202872897
558,4275.508710270376
559,4564.490805926543
560,4564.490805926543
561,4564.490805926543
562,4564.490805926543
563,4564.490805926543
564,4564.490805926543
565,4564.490805926543
566,4569.247695779113
567,4689.559054697416
568,4661.22718957954
569,4586.333619344
570,4491.4489500805375
571,4340.239514531051
572,4291.81192137764
573,4291.81192137764
574,4291.81192137764
575,4291.81192137764
576,4291.81192137764
577,4291.81192137764
578,4291.81192137764
579,4291.81192137764
580,4038.112505401848
