base_delay,base_loss,control_interval,result
3,0,5,97.7
3,0,5,98.15
3,0,5,98.14
3,0,5,98.13
3,0,5,97.51
3,0,5,97.86
3,0,6,97.27
3,0,6,97.6
3,0,6,97.96
3,0,6,97.91
3,0,6,98.11
3,0,6,97.62
3,0,6,97.01
3,0,6,97.41
3,0,6,97.32
3,0,6,97.55
3,0,7,97.47
3,0,7,96.93
3,0,7,97.35
3,0,7,96.79
3,0,7,97.41
3,0,7,98.0
3,0,7,97.52
3,0,7,97.34
3,0,7,97.44
3,0,7,97.62
3,0,8,97.16
3,0,8,97.37
3,0,8,97.51
3,0,8,97.18
3,0,8,97.12
3,0,8,97.63
3,0,8,97.11
3,0,8,97.05
3,0,8,97.44
3,0,8,97.05
3,0,9,97.23
3,0,9,98.12
3,0,9,97.17
3,0,9,97.27
3,0,9,97.6
3,0,9,97.55
3,0,9,98.07
3,0,9,97.65
3,0,9,97.05
3,0,9,97.34
3,0,10,97.22
3,0,10,97.59
3,0,10,97.3
3,0,10,97.62
3,0,10,97.1
3,0,10,97.74
3,0,10,97.66
3,0,10,97.54
3,0,10,96.87
3,0,10,97.56
3,0,11,97.44
3,0,11,97.36
3,0,11,97.18
3,0,11,97.37
3,0,11,96.66
3,0,11,96.65
3,0,11,97.29
3,0,11,96.91
3,0,11,97.1
3,0,11,96.75
3,0,12,97.21
3,0,12,97.65
3,0,12,97.72
3,0,12,97.2
3,0,12,97.58
3,0,12,97.32
3,0,12,97.33
3,0,12,96.76
3,0,12,97.57
3,0,12,97.16
3,0,13,97.11
3,0,13,97.26
3,0,13,97.0
3,0,13,97.18
3,0,13,97.19
3,0,13,97.18
3,0,13,97.29
3,0,13,96.96
3,0,13,96.97
3,0,13,97.43
3,0,14,97.0
3,0,14,96.5
3,0,14,96.69
3,0,14,97.39
3,0,14,97.39
3,0,14,97.08
3,0,14,97.08
3,0,14,97.16
3,0,14,97.12
3,0,14,96.94
3,0,15,97.13
3,0,15,97.11
3,0,15,97.05
3,0,15,97.26
3,0,15,97.34
3,0,15,97.14
3,0,15,96.48
3,0,15,96.81
3,0,15,97.17
3,0,15,97.24
3,0,16,97.3
3,0,16,96.35
3,0,16,96.9
3,0,16,96.75
3,0,16,96.57
3,0,16,96.99
3,0,16,96.56
3,0,16,97.01
3,0,16,96.42
3,0,16,96.42
3,0,17,97.26
3,0,17,96.42
3,0,17,96.69
3,0,17,96.77
3,0,17,96.38
3,0,17,97.09
3,0,17,96.96
3,0,17,96.84
3,0,17,96.2
3,0,17,96.73
3,0,18,96.7
3,0,18,96.99
3,0,18,96.11
3,0,18,96.64
3,0,18,96.7
3,0,18,96.74
3,0,18,96.59
3,0,18,96.88
3,0,18,97.11
3,0,18,96.56
3,0,19,95.66
3,0,19,96.57
3,0,19,96.34
3,0,19,97.03
3,0,19,96.62
3,0,19,96.24
3,0,19,96.43
3,0,19,97.07
3,0,19,96.52
3,0,19,96.81
3,0,20,96.74
3,0,20,96.6
3,0,20,96.77
3,0,20,96.74
3,0,20,96.63
3,0,20,96.41
3,0,20,96.91
3,0,20,96.69
3,0,20,97.19
3,0,20,96.84
4,0,1,97.38
4,0,1,97.78
4,0,1,96.65
4,0,1,96.35
4,0,1,96.76
4,0,1,97.72
4,0,1,98.26
4,0,1,97.48
4,0,1,97.11
4,0,1,97.2
4,0,2,97.67
4,0,2,97.41
4,0,2,97.24
4,0,2,97.68
4,0,2,80.78999999999999
4,0,2,93.36
4,0,2,96.81
4,0,2,89.16
4,0,2,76.41
4,0,2,97.08
4,0,3,98.01
4,0,3,92.87
4,0,3,80.68
4,0,3,97.24
4,0,3,92.56
4,0,3,92.49
4,0,3,97.5
4,0,3,81.58
4,0,3,88.3
4,0,3,97.59
4,0,4,89.83
4,0,4,93.53999999999999
4,0,4,97.59
4,0,4,96.9
4,0,4,97.38
4,0,4,97.64
4,0,4,97.58
4,0,4,97.81
4,0,4,97.17
4,0,4,97.91
4,0,5,97.42
4,0,5,96.77
4,0,5,97.66
4,0,5,96.92
4,0,5,97.73
4,0,5,97.7
4,0,5,97.6
4,0,5,97.3
4,0,5,97.96
4,0,5,97.39
4,0,6,97.75
4,0,6,97.95
4,0,6,97.49
4,0,6,96.47
4,0,6,97.66
4,0,6,97.43
4,0,6,97.51
4,0,6,96.89
4,0,6,97.79
4,0,6,97.33
4,0,7,97.09
4,0,7,97.88
4,0,7,96.76
4,0,7,97.6
4,0,7,97.22
4,0,7,97.69
4,0,7,97.47
4,0,7,97.7
4,0,7,96.88
4,0,7,97.64
