base_delay,control_interval,result
13,22,93.34
13,23,92.98
13,24,93.97
13,25,93.61
13,26,93.45
13,27,93.18
13,28,93.23
13,29,92.42
13,30,93.42
13,31,93.09
13,32,93.34
13,33,92.9
13,34,92.97
13,35,92.81
13,36,92.89
13,37,92.99
13,38,93.28
13,39,92.0
13,40,92.87
13,41,92.35
13,42,92.21
13,43,92.28
13,44,91.51
13,45,91.43
13,46,91.45
13,47,90.63
13,48,91.67
13,49,90.51
13,50,91.45
13,51,91.14
13,52,90.4
13,53,90.47
13,54,90.99
13,55,90.57
13,56,91.13
13,57,90.78999999999999
13,58,89.93
13,59,90.06
13,60,89.61
13,61,90.49
13,62,90.52
13,63,89.98
13,64,90.42
13,65,90.25
13,66,89.71
13,67,90.01
13,68,89.25
13,69,89.65
13,70,89.82
13,71,89.99
13,72,89.64
13,73,88.88
13,74,89.61
13,75,88.86
13,76,88.49
13,77,89.22
13,78,89.63
13,79,88.78999999999999
13,80,88.77
13,81,89.25
13,82,88.85
13,83,88.78
13,84,89.27
13,85,88.18
13,86,87.87
13,87,88.27
13,88,88.05
13,89,87.28
13,90,88.51
13,91,88.46
13,92,88.1
13,93,87.88
13,94,87.14
13,95,87.43
13,96,87.48
13,97,87.72
13,98,87.58
13,99,87.19
13,100,87.53
14,1,93.04
14,2,94.0
14,3,93.51
14,4,93.89
14,5,93.43
14,6,93.81
14,7,92.99
14,8,93.13
14,9,93.62
14,10,93.55
14,11,93.77
14,12,92.98
14,13,93.41
14,14,93.18
14,15,93.67
14,16,92.6
14,17,93.49
14,18,93.32
14,19,93.05
14,20,93.91
14,21,93.83
14,22,93.14
14,23,93.18
14,24,92.72
14,25,93.05
14,26,93.07
14,27,92.31
14,28,93.3
14,29,93.33
14,30,93.46
14,31,93.53999999999999
14,32,93.6
14,33,92.13
14,34,92.37
14,35,93.01
14,36,92.71
14,37,93.26
14,38,92.33
14,39,92.75
14,40,92.93
14,41,91.53
14,42,91.62
14,43,92.36
14,44,91.07
14,45,91.35
14,46,91.95
14,47,91.57
14,48,91.56
14,49,90.95
14,50,91.33
14,51,90.71000000000001
14,52,90.84
14,53,90.65
14,54,90.18
14,55,90.66
14,56,90.34
14,57,90.34
14,58,90.67
14,59,90.18
14,60,90.97
14,61,89.64
14,62,90.07
14,63,89.79
14,64,90.73
14,65,90.68
14,66,89.5
14,67,89.59
14,68,89.64
14,69,89.59
14,70,88.85
14,71,89.79
14,72,90.23
14,73,89.77
14,74,89.43
14,75,89.52
14,76,89.39
14,77,89.22
14,78,88.99
14,79,88.28
14,80,88.32
14,81,88.44
14,82,88.65
14,83,88.63
14,84,88.82
14,85,87.91
14,86,88.71000000000001
14,87,88.12
14,88,88.69
14,89,87.69
